context,question,answers,correct_answer_id
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",What does that narrator think of Cathy?,"['That she is a little nuts.' 'not enough information'
 'That she is really nice.' 'That she is mean.']",0
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",The narrator's dad died:,"['not enough information' ""On the same day as Cathy's divorce""
 'Before Cathy got divorced' 'After Cathy got divorced']",3
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",Where does Aunt Cathy live?,"['not enough information' 'She lives on the west coast.'
 'She lives in the midwest.' 'She lives on the east coast.']",3
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",How long did it probably take for the narrator's mom to pack?,['not enough information' 'more than a day' 'less than a day' 'a few days'],2
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",What did the narrator do in the evening of the day their mother left?,"['cleaning the kitchen'
 ""putting things in their places after the mother's packing""
 'not enough information' 'a teenage drug party']",2
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",What does the narrator's mom think about how the narrator is handling the death of their father?,"['The mother thinks he is angry' 'The mother thinks he feels marvelous'
 'The mother thinks he is getting better' 'not enough information']",2
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.","After the story ends, the narrator probably:","['enjoys his day' 'not enough information' 'calls Aunt Cathy'
 'joins his mother']",0
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",When did the narrator skip school?,"['After his mom went to Delaware.' ""soon after his father's funeral.""
 'not enough information' 'Before his mom went to Delaware.']",0
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",Why did the narrator's mom leave the next morning?,"['To help Aunt Cathy' 'To go to the school' 'because her husband died'
 'not enough information']",0
"The biggest thorn in the paw of my grand plan to stop going to school was that my mom would probably notice that I wasn't going to school.
It wasn't an issue, however. When I got home my mom was running around the house shuttling clothes from closets and drawers to open suitcases.
""Are we going somewhere?"" I asked, setting my car keys on the kitchen table.
She stopped in place and stood up, looking at me for a moment.
""I am,"" she started. ""I've been talking to Aunt Cathy on the phone and I don't think she's doing very well, with the divorce and then your father. I'm going to spend a few days out there with her until she's feeling better.""
Cathy is my dad's sister and I always suspected her to be a bit batty. She didn't come from Delaware for my dad's, her brother's, funeral; said she wouldn't be able to drive herself, and nobody could pick her up.
My mom continued, ""Would that be alright? I mean, will you be okay by yourself for a while?""
She must have noticed that I was handling things better than I had been at first. My dad died in January, it was now March. Seems like enough time to me.
""I'll be fine,"" I said. ""Nothing major going on, just school. Are you leaving tonight or tomorrow?""
Nothing major.
She left early the next morning, before I would normally leave for school. Before she left she told me not to throw any wild teenage drug parties. I told her I wouldn't know how if I wanted to. She left, I went back to bed.
It's a marvelous feeling, to sleep right through the start of the school day. Skipping school is one thing, playing sick is one thing, but just not going to school is another feeling entirely. It felt like freedom. The kind of freedom that will cost you later, but at the time seems worth it.",How did the narrator probably handle his father's death?,"['He is not doing so well.'
 'He had a rough time at first but now is doing better.'
 ""It didn't bother him at all."" 'not enough information']",1
